data,Battery,Camera,Performance,Display,Design,Software,Packaging,Price,Warranty,Shop_Service,Shipping,General,Others,Audio,id,num_annotators,manager_reviewed_labels
"tính năng nổi bật: gói hàng sơ sài lãnh tụ tối cao iran: 'sẽ không khoan nhượng với israel' lãnh tụ ali khamenei đăng tranh về trận chiến cổ xưa của người hồi giáo với người do thái trong thông điệp cứng rắn nhắm vào israel, sau các lời đe dọa từ ông trump. nhân danh anh hùng ali, cuộc chiến bắt đầu. ali trở lại khaybar với thanh gươm zulfiqar, lãnh tụ tối cao iran ali khamenei viết trên x hôm nay, đăng kèm ảnh một",,,,,,,,,,,,,Neutral,,219548607,3,
hiệu năng chậm khi tải file lớn. ship giao thiếu seal bảo mật. cs kh không cập nhật trạng thái đơn.,,,Negative,,,,,,,Negative,,,,,219548608,3,
"đóng gói, giao hàng nhanh sản phẩm tới tay còn nguyên vẹn máy mới nguyên seal nhe sử dụng khá ổn định để chờ sử dụng 1 thời gian xem sao",,,,,,,Positive,,,,,,,,219548609,3,
"đóng gói không ngừa mốc, camera selfie tiếng ồn vang. hỗ trợ thư không mở, hiệu năng bộ nhớ giả.",,Negative,Negative,,,,Negative,,,,,,,Negative,219548610,3,
"hàng chất lượng tốt như quảng cáo, kích hoạt đúng ngày nhận máy, đúng như mong đợi",,,,,,,,,,,,,,,219548611,3,
sản phẩm phù hợp với giá tiền. khi bật loa to thì điện thoại bị rung. độ mượt vừa phải. mua được kèm theo ốp.,,,Neutral,,,,,Positive,,,,,,Negative,219548612,3,
"chất lượng sản phẩm: như hàng cũ. đúng với mô tả: ghi là hàng mới. tính năng nổi bật: hộp rách nát. review: cửa hàng giao hàng trong cái hộp rách nát, trông như hàng cũ. không có tem niêm phong. máy lag, giật liên tục.",,,Negative,,,,Negative,,,,,,,,219548613,3,
"chất lượng sản phẩm: hiệu năng giật ở thao tác cơ bản. đúng với mô tả: thông số trên trang không phản ánh thực tế. tính năng nổi bật: không tìm thấy điểm mạnh. review: mở camera + trình duyệt là lag, app thoát ngầm, pin tụt nhanh, đóng gói sơ sài, ship muộn",Negative,,Negative,,,,Negative,,,,,,,,219548614,3,
"chất lượng sản phẩm: gps lệch, định vị nhảy lung tung khi di chuyển. đúng với mô tả: định vị không chính xác. tính năng nổi bật: không có chế độ hiệu chỉnh. review: dẫn đường lệch vài chục mét, bật gps làm pin tụt nhanh, đóng gói sơ, ship muộn, chăm sóc khách hàng lúng túng",Negative,,,,,Negative,Negative,,,Negative,,,,,219548615,3,
chất lượng sản phẩm: chất lượng build kém viền máy bị xước dăm. đúng với mô tả: chống trầy xước. tính năng nổi bật: sử dụng 1 tháng viền máy bị xước dăm. review: máy rất dễ xước nhìn rất xấu. pin sạc lâu và sử dụng nhanh hết. chăm sóc khách hàng không bảo hành lỗi này,Negative,,,,Negative,,,,,Negative,,,,,219548616,3,
"nhận hàng cảm thấy oke nha rất hài lòng, nói chung mua online vớ được giá hời như này mà chất lượng tốt như này thì không còn gì bàn cãi, vote cửa hàng 5* nhe",,,,,,,,Positive,,,,Positive,,,219548617,3,
"nhóm màu: natural dung lượng lưu trữ: 256gb nhiều tùy chọn màu sắc, thiết kế mượt mà và phong cách, giao hàng nhanh chóng và hiệu quả,",,,,,Positive,,,,,,,,,,219548618,3,
"chất lượng sản phẩm: máy đẹp đúng với mô tả: tốt tính năng nổi bật: full chức năng máy trông còn khá mới full chức năng , pin trâu không bị chai, máy có 1 số vấn đề nhưng cửa hàng đã hỗ trợ nhiệt tình",Positive,,Positive,,Positive,,,,,Positive,,,,,219548619,3,
"dung lượng lưu trữ: bản ram 4gb/64gb rất hài lòng . mình mua 2 cái a30 rồi vẫn thích, pin 4000 nhưng sử dụng cả ngày không hết, tưởng như 6000 vậy.",Positive,,,,,,,,,,,,,,219548620,3,
"chất lượng sản phẩm: pin tụt nhanh dù ít sử dụng. đúng với mô tả: thông số pin phóng đại. tính năng nổi bật: camera trước làm mịn quá đà. review: để chế độ tiết kiệm mà vẫn tụt 30%/2h, selfie như nhựa, máy hơi ấm, đóng gói mỏng, ship muộn, chăm sóc khách hàng trả lời lỡ hẹn",Negative,Negative,,,,,Negative,,,Negative,,,,,219548621,3,
"nhóm màu: natural dung lượng lưu trữ: 256gb 📸chất lượng camera:bộ xử lý mạnh mẽ và nhanh chóng, màn hình lớn với hiển thị sống động, hiệu suất máy ảnh ấn tượng, tuổi thọ pin lâu dài, giao hàng nhanh chóng và hiệu quả,",Positive,Positive,Positive,Positive,,,,,,,,,,,219548622,3,
"chất lượng sản phẩm: sạc đôi khi không nhận, mất kết nối. đúng với mô tả: sạc ổn định bị thổi phồng. tính năng nổi bật: cam zoom nhiễu. review: phải rút cắm nhiều lần mới sạc, zoom ảnh nhiễu, máy nóng, hộp không đệm, chăm sóc khách hàng trả lời chậm",,Negative,,,,,Negative,,,Negative,,,,,219548623,3,
chất lượng sản phẩm: ứng dụng hệ thống hay bị lỗi đúng với mô tả: phần mềm chưa tối ưu tính năng nổi bật: hay xuất hiện thông báo lỗi review: máy thường xuyên bị treo và cần khởi động lại,,,Negative,,,Negative,,,,,,,,,219548624,3,
"cửa hàng đóng gói chắc chắn, giao hàng nhanh, sản phẩm giống hình",,,,,,,Positive,,,,,,,,219548625,3,
"hư loa ngoài, máy giá rẻ nên xem youtube hơi giật",,,Negative,,,,,Positive,,,,,,Negative,219548626,3,
"tính năng nổi bật: nghe gọi, xem internet đúng với mô tả: tốt chất lượng sản phẩm: tốt giá tien phù hợp, mình mua cửa hàng lần 2 rồi, mua cho ba chỉ sử dụng xem internet nên mức giá này khá là tốt nhe mọi người",,,,,,,,Positive,,,,,,,219548627,3,
chất lượng sản phẩm: kém chất camera selfie. đúng với mô tả: selfie đẹp khác. tính năng nổi bật: pin mau hết. review: mịn nét thiếu giả. pin chụp tụt. qua chăm sóc khách hàng loa trả lời,Negative,Negative,,,,,,,,Negative,,,,Neutral,219548628,3,
"nhóm màu: desert dung lượng lưu trữ: 256gb tuổi thọ pin lâu dài, hiệu suất máy ảnh ấn tượng, màn hình lớn với hiển thị sống động, giao hàng nhanh chóng và hiệu quả,",Positive,Positive,,Positive,,,,,,,,,,,219548629,3,
variation3: bạc variation1: nguyên seal máy tốt quá cửa hàng,,,,,,,,,,,,Positive,,,219548630,3,
"chất lượng sản phẩm: tốt tính năng nổi bật: tốt đúng với mô tả: đúng giao hàng hơi lâu phải lên tận bưu cục lấy😵‍💫😵‍💫, giá sale rẻ. trước mắt thấy khá ổn…",,,,,,,,Positive,,,,,,,219548631,3,
"camera bị vết đen. máy thì tốt màn hình cảm ứng mượt mà, rất nhạy., nên bị trừ chỉ cho cửa hàng được 4 sao thôi",,Negative,,Positive,,,,,,,,,,,219548632,3,
"chất lượng sản phẩm: rất tệ. đúng với mô tả: khác xa quảng cáo. tính năng nổi bật: combo tệ hại. review: từ vận chuyển chậm chạp cho tới 1 sản phẩm hiệu năng kém, pin yếu không có gì giống như quảng cáo một trải nghiệm mua hàng tồi tệ",Negative,,Negative,,,,,,,,,,,,219548633,3,
"nhóm màu: desert dung lượng lưu trữ: 256gb hiệu suất máy ảnh ấn tượng, dịch vụ khách hàng xuất sắc, bộ xử lý mạnh mẽ và nhanh chóng,",,Positive,Positive,,,,,,,Positive,,,,,219548634,3,
"color: đen-l vẻ ngoài đơn giản và đẹp trai, hiện đại và thời trang, vừa vặn thoải mái và rộng rãi, thiết kế phong cách và hợp thời trang, dễ phối đồ và linh hoạt,",,,,,,,,,,,,,Neutral,,219548635,3,
cửa hàng đóng gói cẩn thận. sản phẩm nguyên seal không có vấn đề gì khi nhận hàng,,,,,,,Positive,,,,,,,,219548636,3,
"đúng với mô tả: đúng với mô tả giao hàng nhanh, cửa hàng giao đúng hàng, máy mới 99%, mình mua tặng ông bà nên nhờ cửa hàng test trước khi gửi",,,,,,,,,,,,,,,219548637,3,
"color family: random color sản phẩm: màu đen cáp sạc mua hàng ở cửa hàng này khá tốt, đóng gói tốt. giá tiền rẻ so với mặt bằng chung. nhìn chung thì cũng hài lòng nha",,,,,,,Positive,Positive,,,,Positive,,,219548638,3,
"variation3: màungẫunhiên j8 3/32 không đúng sản phẩm, mua a50s lại giao j8",,,,,,,,,,,,,,,219548639,3,
dung lượng lưu trữ: a12 ram 6gb/128gb nhóm màu: đen tốt,,,,,,,,,,,,Neutral,,,219548640,3,
"nhóm màu: white dung lượng lưu trữ: 256gb tuổi thọ pin lâu dài,",Positive,,,,,,,,,,,,,,219548641,3,
nhóm màu: đen mua sam sung j7 màu đen giao màu hồng. có 16g không phải 32g lazada báo kg đúng. kg có sạc pin nữa,,,,,,,,,,,,Negative,,,219548642,3,
"nhóm màu: đen 🔋thời lượng pin:màn hình sống động với độ phân giải full hd+, khe cắm sim kép tiện lợi,",,,,Positive,,,,,,,,,,,219548643,3,
"chất lượng sản phẩm: camera chụp kém. đúng với mô tả: ảnh khác quảng cáo. tính năng nổi bật: pin yếu. review: camera chụp ảnh mờ, màu sắc không chuẩn. pin tụt nhanh dù sử dụng nhẹ. ship muộn, đóng gói lỏng lẻo. chăm sóc khách hàng không hỗ trợ tốt",Negative,Negative,,,,,Negative,,,Negative,,,,,219548644,3,
"đúng với mô tả: không đúng hoàn toàn chất lượng sản phẩm: cũng tạm chấp nhận so với quảng cáo tính năng nổi bật: chip mạnh mình mua về test camera điện thoại thì không có cam góc rộng,rồi cửa hàng lại giải thích là do nhập hàng nhiều nước nên máy có máy không :))),vậy mà cửa hàng không nói cứ quảng cáo là có cam góc rộng. tiếp theo là phần bộ nhớ 8/256 nhưng chỉ có ram 8g là chuẩn,còn rom 256g thì chỉ có 128g chắc do kích ảo,chắc do đó nên khi mới mua về 17.9g dù mình đã tải thêm rất nhiều nhưng nó cũng vẫn 17.9g không hề tăng lên dù đã sử dụng thêm.hình ảnh trên là minh hoạ của mình.còn lại thỉ oke,chip khoẻ,pin trâu,sạc nhanh, nhưng lừa dối khách hàng không thể để im.",Positive,Negative,Positive,,,,,,,Negative,,,,,219548645,3,
"máy sử dụng tạm ổn, màn hình bị loạn cảm ứng :(((( rất mong cửa hàng cho cách khắc phục",,,,Negative,,,,,,,,,,,219548646,3,
mọi chức năng ổn định. có mỗi cái màn hình là hơi khó bấm với cảm ứng không mượt cho lắm,,,,Negative,,,,,,,,,,,219548647,3,
"chất lượng sản phẩm: âm lượng loa ngoài nhỏ, rè khi tăng. đúng với mô tả: âm thanh quảng cáo quá lời. tính năng nổi bật: speaker quality không đạt. review: xem video không đã, gọi loa ngoài nhỏ, ship không kèm ốp như mô tả",,,,,,,,,,,,Negative,,Negative,219548648,3,
em cảm ơn cửa hàng nhiều a điện thoại đẹp ạ 😍,,,,,Positive,,,,,,,,,,219548649,3,
"nhóm màu: đen trải nghiệm người sử dụng mượt mà và liền mạch, màn hình sống động với độ phân giải full hd+, dung lượng lưu trữ rộng rãi 128gb,",,,Positive,Positive,,,,,,,,,,,219548650,3,
máy nóng khi sạc. hiệu năng giảm rõ rệt sau vài tháng. pin tụt nhanh khi chơi game. máy giật đơ liên tục. pin chỉ xài được 3 tiếng là hết. cskh k phản hồi tin nhắn,Negative,,Negative,,,,,,,Negative,,,,,219548651,3,
"nhóm màu: xanh trải nghiệm người sử dụng mượt mà và liền mạch, bộ xử lý helio g85 mạnh mẽ, dung lượng lưu trữ rộng rãi 128gb,",,,Positive,,,,,,,,,,,,219548652,3,
"dễ trầy xước màu không đúng màn hình tối, chạy chậm. nhìn màu trên web là xanh đậm mà khi nhận được lại là xanh nhạt, màn hình tối hơn quảng cáo, sử dụng nặng là bị đơ.",,,Negative,Negative,,,,,,,,,,,219548653,3,
"kém sai bét wifi yếu không bắt được tín hiệu mạnh, đóng hàng rách rưới móp méo một bên, chăm sóc khách hàng thờ ơ không hỗ trợ đổi",,,,,,,Negative,,,Negative,,,,,219548654,3,
sản phẩm tốt cửa hàng hỗ trợ nhiệt tình ạ,,,,,,,,,,Positive,,Positive,,,219548655,3,
nhóm màu: đen chất lượng:chất lượng như hình nhưng mà có 3 ghi bộ nhớ thì hơi ít nói chung làm máy dự phòng với chống cháy thì oke,,,,,Negative,,,,,,,,,,219548656,3,
"nhóm màu: pink dung lượng lưu trữ: 128gb giá trị tuyệt vời cho số tiền bỏ ra, màn hình sống động, dung lượng lưu trữ cao, hiệu suất mượt mà,",,,Positive,Positive,,,,Positive,,,,,,,219548657,3,
nhóm màu: xám nhạt dung lượng lưu trữ: 128gb đã nhận được hàng bức đầu tốt. đợi tét nữa thôi,,,,,,,,,,,,Neutral,,,219548658,3,
kh hỗ trợ tiếng địa phương kém. camera selfie mịn giả mất nét da. hiệu năng lag cập nhật phần mềm.,,Negative,Negative,,,,,,,,,,,,219548659,3,
"hiệu năng chơi game kém, fps ko ổn định, giật lag liên tục. ảnh chụp ngoài trời bị lóa sáng. ship ko gọi báo trước khi giao.",,Negative,Negative,,,,,,,,,,,,219548660,3,
mua 2 cái để nuôi sim. máy cũng được. khả năng không phải hàng chính hãng. nhưng với giá tiền này chơi được. cũng chỉ nghe gọi không cần yêu cầu quá nhiều. máy khá đẹp.,,,,,,,,Positive,,,,Neutral,,,219548661,3,
"nhóm màu: đen khe cắm sim kép tiện lợi, bộ xử lý helio g85 mạnh mẽ, màn hình sống động với độ phân giải full hd+, dung lượng lưu trữ rộng rãi 128gb,",,,Positive,Positive,,,,,,,,,,,219548662,3,
"đẹp. màn hình to, phụ huynh thấy rỏ hơn. nói chung là với giá tiền như thế thì không có gì phải chê",,,,Positive,,,,Positive,,,,,,,219548663,3,
"màu sắc: xanh biển giao nhầm nhưng điện thoại sử dụng ổn, cần cẩn thận hơn khâu gói hàng",,,,,,,Neutral,,,,,Positive,,,219548664,3,
"màu sắc: màu ngẫu nhiên sản phẩm: cáp sạc mình rất vừa ý,máy đẹp,cầm chắc tay và cứng cáp,giá cả bình dân, kiểu dáng đẹp.cửa hàng uy tín giao hàng đúng hẹn,rất nhanh nhẹn,phục vụ tốt. chất lượng máy rất tốt, đã test và sử dụng chưa thấy lỗi gì phát sinh.rất yên tâm về sản phẩm của cửa hàng",,,Positive,,Positive,,,Positive,,Positive,,,,,219548665,3,
cửa hàng uy tín giao hàng nhanh giá hợp lý với mọi nhà..sẽ ủng hộ cửa hàng thêm vài cái nữa................,,,,,,,,Positive,,Positive,,,,,219548666,3,
nhóm màu: đen mọi thư tốt hai lòng,,,,,,,,,,,,Positive,,,219548667,3,
"chất lượng rất tệ, mở được 1 lần sau đó sập rồi không thể khởi đọng 1 lần nữa. sử dụng làm xác thì oke chứ cam, loa, màn hình nát cả rồi.",,Negative,Negative,Negative,,,,,,,,,,Negative,219548668,3,
"chất lượng sản phẩm: màn hình ám màu, góc nhìn không tốt. đúng với mô tả: màu sắc pr khác thực tế. tính năng nổi bật: auto-brightness oscillate. review: xem ảnh thấy ám, ngoài trời không nhìn rõ, ship tới muộn",,Negative,,Negative,,,,,,,,,,,219548669,3,
pin sạc pin lỗi ngắt quãng hiệu năng quá tải app nặng chăm sóc khách hàng im thin thít,Negative,,Negative,,,,,,,Negative,,,,,219548670,3,
camera sau bị mờ không rõ,,Negative,,,,,,,,,,,,,219548671,3,
"🔋thời lượng pin:khá ổn xem và tải 7h vẫn còn 30% , 📸chất lượng camera:sắc nét đặc biệt cam trc. mỗi tội loa ngoài không nghe được rè rè kinh luôn hôm kc lại mất công đi sửa , bâo tét kỹ kỹ chút thì chả tét 4,5 sao vậy.",Positive,Positive,,,,,,,,,,,,Negative,219548672,3,
"nhóm màu: midnight dung lượng lưu trữ: 128gb chính hãng, mã vna. đóng gói cẩn thận. được tặng túi vải rất đẹp, kèm một xấp bao lì xì tết.",,,,,,,Positive,,,,,,,,219548673,3,
"mua 2 cái máy của cửa hàng đều tốt ,sử dụng mướp lắm, cảm ơn cửa hàng đã bán đúng sản phẩm,chất lượng lắm nha cửa hàng sẽ còn tiếp tục ủng hộ cửa hàng.",,,,,,,,,,,,Positive,,,219548674,3,
"fake ram 4gb thành 6gb, rom đủ màn hình 8 điểm chạm, không sử dụng được 2 chạm mở tắt màn hình vân tay tốt pin tốt ngoại hình phụ kiện đầy đủ tốt loa mic tốt hút wifi tốt cảm ứng tốt 3 nút cứng tốt sim tốt nhờ cửa hàng kiểm tra ram rom mà vẫn bị thiếu sót.",,,Positive,Positive,,,,,,Negative,,,,Positive,219548675,3,
shipping không bồi thường chậm trễ camera portrait cắt lệch pin sạc chậm,Negative,Negative,,,,,,,,,,,,,219548676,3,
"hình ảnh mang tính chất tượng trưng, đúng là tiền nào của đó sử dụng không được",,,,,,,,Neutral,,,,,,,219548677,3,
"máy đẹp, nhỏ gọn",,,,,Positive,,,,,,,,,,219548678,3,
chán :) mua xong có giảm giá thêm 600k nữa :)))) không biết nói gì hơn cảm thấy bị sỉ nhục ghê,,,,,,,,,,,,,,,219548679,3,
"chất lượng sản phẩm: tốt đúng với mô tả: đúng giao hàng nhanh đóng gói cẩn thận, trải nghiệm máy 1 tuần thì máy mượt chỉ game thì tầm giá này nên mua máy",,,Positive,,,,Positive,Neutral,,,,,,,219548680,3,
đúng với mô tả: đúng chất lượng sản phẩm: tốt tính năng nổi bật: 7000mah pin,,,,,,,,,,,,Positive,,,219548681,3,
"đúng với mô tả: đúng chất lượng sản phẩm: tốt giao hàng đúng mô tả, tặng cửa hàng 5*",,,,,,,,,,,,Positive,,,219548682,3,
chất lượng sản phẩm: không có jack cắm tai nghe 3.5mm. đúng với mô tả: đầy đủ kết nối tiện lợi. tính năng nổi bật: không sử dụng được tai nghe cũ phải mua adapter. review: phải mang theo cổng chuyển rườm rà. camera selfie bị out nét. ship hàng bị thất lạc phải tự tìm,,,,,,,,,,,Negative,,,,219600376,3,
"nhóm màu: đen dung lượng lưu trữ rộng rãi 128gb, hiệu suất nhanh chóng và hiệu quả, chất lượng máy ảnh tuyệt vời để chụp lại khoảnh khắc, trải nghiệm người sử dụng mượt mà và liền mạch, bảo hành 12 tháng đáng tin cậy,",,Positive,Positive,,,,,,Positive,,,,,,219600377,3,
"chất lượng sản phẩm: pin bị phồng nhẹ sau vài tháng, chăm sóc khách hàng từ chối bảo hành. đúng với mô tả: không. tính năng nổi bật: không. review: sử dụng được mấy tháng thấy nắp lưng bị kênh lên do pin phồng, rất nguy hiểm. báo hãng thì chăm sóc khách hàng đổ lỗi do người sử dụng và từ chối bảo hành",Negative,,,,,,,,Negative,Negative,,,,,219600378,3,
"đúng với mô tả: không chất lượng sản phẩm: tốt mua 6gb nhận 8gb cửa hàng ghi android 8,9 mà về check android 10, pin tốt",Positive,,,,,Neutral,,,,,,,,,219600379,3,
tính năng nổi bật: máy như mô tả chất lượng sản phẩm: đẹp xuất sắc luôn nha đúng với mô tả: đúng như của hàng mô tả. xin nha lần đầu cảm nhận. sony có cái gì đó khác biệt so giới các hãng điện thoại khác. đại đế sony thật sự khác biệt. nói chung giải trí cơ bản tại Việt Nam ngon lành thông báo có hơi trễ so giới máy quốc tế. còn tất cả mọi thứ ngon hết mình đang sài là android 10,,,,,Positive,,,,,,,,,,219600380,3,
"nhóm màu: đen bảo hành 12 tháng đáng tin cậy, trải nghiệm người sử dụng mượt mà và liền mạch, trải nghiệm người sử dụng mượt mà và liền mạch, trải nghiệm người sử dụng mượt mà và liền mạch, trải nghiệm người sử dụng mượt mà và liền mạch, trải nghiệm người sử dụng mượt mà và liền mạch, thiết kế mượt mà và phong cách, thiết kế mượt mà và phong cách,",,,Positive,,Positive,,,,Positive,,,,,,219600381,3,
"sản phẩm bị lỗi phần mềm, tự khởi động lại. không ổn định. lỗi. máy tự reset liên tục, không dùng được. ship hàng chậm hơn 3 ngày so với hẹn.",,,,,,Negative,,,,,Negative,,,,219600382,3,
"kém mô tả phi thực tế khả năng chống nước không có, hỏng do mưa,",,,,,Negative,,,,,,,,,,219600383,3,
- sử dụng được ít bữa sập nguồn luôn nhắn tin gọi cửa hàng không được. sao shoppee vẫn còn tồn tại cửa hàng thế này cửa hàng này lừa dối nha. nhắn tin không trả lời hỏi không. mua samsung thì chuyển hàng oppo. màn hình thì bị có vấn đề  vận chuyển chậm nhắn tin không trả lời. gọi điện không bắt máy xem b luận thấy mọi người đánh giá tốt ai ngờ gặp ngay quả đắng -,,,,Negative,,,,,,Negative,Negative,,,,219600384,3,
đúng với mô tả: đúng chất lượng sản phẩm: tốt tính năng nổi bật: cửa hàng tặng kèm ốp lưng và kính cường lực cửa hàng bán hàng rất có tâm gói hàng cẩn thận mọi người nên mua,,,,,,,Positive,,,,,,,,219600385,3,
"chất lượng sản phẩm: loa ngoài vỡ tiếng ở âm lượng lớn. đúng với mô tả: âm thanh không đạt. tính năng nổi bật: volume thấp/không rõ. review: bật to là rè, không sử dụng được để gọi ngoài, hộp móp",,,,,,,,,,,,Negative,,Negative,219600386,3,
"tính năng nổi bật: main zin chưa sửa, màn hình thay, vỏ thay, pin hẻo không sài được, phải mua pin khác về thay nhé chất lượng sản phẩm: sử dụng lâu mới biết đúng với mô tả: 50% sản phẩm: sản phẩm chất lượng kém tài chính thấp mua sử dụng tạm thì tốt",Negative,,,,,,,,,,,,,,219600387,3,
sản phẩm tốt đẹp sử dụng ổn định hơn nhiều so với các hãng khác,,,,,,,,,,,,Positive,,,219600388,3,
"pin kém. mô tả pin trâu là sai sự thật. hiệu năng lẹt đẹt. pin dùng ko đc 5 tiếng. máy chậm, mở app lâu. đóng gói mỏng. ship chậm, ko thông báo",Negative,,Negative,,,,Negative,,,,Negative,,,,219600389,3,
"từ 1/10/2025, người sử dụng ôtô chưa chuyển đổi tài khoản thu phí sang tài khoản giao thông sẽ không được lưu thông qua trạm thu phí điện tử không dừng.",,,,,,,,,,,,,Neutral,,219600390,3,
"cảm ứng chậm ram thực tế kém hơn face id lỗi,",,,,Negative,,,,,,,,,,,219600391,3,
"chất lượng sản phẩm: rất tệ. đúng với mô tả: không giống. tính năng nổi bật: quá nhiều lỗi. review: máy hay bị văng app, giật lag liên tục. camera lấy nét rất chậm. pin tụt không kiểm soát. mọi thứ đều tệ, không đáng tiền",Negative,Negative,Negative,,,Negative,,Negative,,,,,,,219600392,3,
"màu sắc: bạc phân loại: likenew 99% 2 sim nhưng 1 sim nano, 1 e sim không phải 2 sim vật lý như tôi nghĩ ........",,,,,,,,,,,,Neutral,,,219600393,3,
dung lượng lưu trữ: samsung galaxy m21 nhóm màu: đen máy đẹp như mới đặt biệt thích cái này âm thanh to nghe cải lương rất đã pin 6000 nghe cả ngày,Positive,,,,Positive,,,,,,,,,Positive,219600394,3,
hàng đẹp mỗi tội cam xấu vân tay hỏng,,Negative,,,Neutral,,,,,,,,,,219600395,3,
"chất lượng sản phẩm: vỏ dễ trầy, hoàn thiện không tốt. đúng với mô tả: vật liệu khác mô tả. tính năng nổi bật: cảm biến vân tay chậm. review: vân tay nhận chập chờn, cảm giác rẻ tiền, đóng gói không có lớp chống sốc, giao hàng hỏng hộp",,,,,Negative,,Negative,,,,Negative,,,,219600396,3,
"nhóm màu: đen hai khe cắm sim cho tiện lợi,",,,,,Positive,,,,,,,,,,219600397,3,
đóng gói sơ sài không có hóa đơn. hiệu năng chậm cập nhật os. cs kh yêu cầu gửi ảnh chứng minh phức tạp.,,,Negative,,,,Negative,,,Negative,,,,,219600398,3,
"cửa hàng đóng gói tốt, không ngờ tặng thêm cục pin, zay sạc nhưng không có củ sạc, chưa test chưa biết nha cho 5 sao, nếu nếu máy tốt sẽ giới thiệu người thân mua.  đánh giá sau 1 tuần là màn hình coi như xong, nó nhảy từa lưa luôn thôi chịu, lần đầu cũng như lần cuối, chịu cửa hàng",,,,Negative,,,Positive,,,,,,,,219600399,3,
"mình đã nhận được hàng ,thật tuyệt vời , máy sử dụng rất ổn , mình rất thích ,mình đã theo dõi cửa hàng, khi có nhu cầu mình tiếp tục ủng hộ cửa hàng tiếp nhé",,,,,,,,,,,,Positive,,,219600400,3,
"đúng với mô tả: bản màu vàng hơi xu. tính năng nổi bật: điện thọai muợn mà. chất lượng sản phẩm: tuyệt vời. đặt hôm truớc hôm sau giao hàng, điện thọai sử dụng mượt mà với trong tầm giá thì vô đối. hàng chính hãng. video chỉ mang tính chất nhận xu.",,,Positive,,,,,Positive,,,Positive,,,,219600401,3,
"mua về mình bị lỗi ngoại quan, cũng phải chạy hơi xa ~15km, 1h di chuyển để đổi máy mới, nghỉ nửa ngày làm. cửa hàng cho 36h đổi cũng hơi khoai do xa và phụ thuộc vào thời tiết, chỗ mình mưa sml ... định để sử dụng luôn nhưng apple không bảo hành vụ cấn gốc này, nên mình đi đổi. máy thứ 2 đổi thì ngày hôm sau lỗi wifi bật mà không dò được, phải bật tắt tay, mình đang theo dõi để xem còn bị không thì đem bão hành hãng vì active rồi :((",,,,,Negative,,,,Negative,,,,,,219600402,3,
pin không sạc qua đêm tụt hết. camera chụp đêm tối thui thiếu sáng. đóng gói giấy báo cũ bẩn thỉu.,Negative,Negative,,,,,Negative,,,,,,,,219600403,3,
tính năng nổi bật: ai chất lượng sản phẩm: tốt đúng với mô tả: đúng mô tả,,,,,,,,,,,,Positive,,,219600404,3,
"nfc không hoạt động hỗ trợ tap-pay nhưng fail không sử dụng được để thanh toán,",,,,,,,,,,,,Negative,,,219600405,3,
không bắt được mạng,,,,,,,,,,,,Negative,,,219600406,3,
"máy lần trước thì sử dụng tốt còn mua lần này máy lại có phim sed .chứng tỏ đã có ai đó sử dụng trước khi giao đến tay tôi ,",,,,,,,,,,,,Negative,,,219600407,3,
"sử dụng 3 ngày rồi, tốt. nhưng giao hàng siêu lâu. hộp dù đóng gói cẩn thận nhưng vẫn bị móp. nvien trả lời hơi chậm. mua được giá 32.089k",,,,,,,Negative,,,Negative,Negative,,,,219600408,3,
"chất lượng sản phẩm: rất tệ. đúng với mô tả: sai sự thật. tính năng nổi bật: nóng máy khi sử dụng. review: máy nóng ran chỉ sau khi lướt web 10p, hiệu năng kém, lướt facebook cũng không mượt. pin thì tụt nhanh, vừa sạc vừa sử dụng máy nóng bỏng tay.",Negative,,Negative,,,,,,,,,,,,219600409,3,
chất lượng sản phẩm: pin không hỗ trợ sạc nhanh ở chế độ tiết kiệm pin. đúng với mô tả: sạc nhanh mọi chế độ. tính năng nổi bật: bật tiết kiệm pin thì sạc chậm. review: bật tiết kiệm pin sạc lâu hơn. chăm sóc khách hàng không biết lỗi này,,,,,,,,,,Negative,,,,,219600410,3,
"đóng gói xốp ít, ship hỏng phụ kiện. pin kém gọi video, camera rung lắc hình.",Negative,Negative,,,,,Negative,,,,,,,,219600411,3,
"nhóm màu: đen tuổi thọ pin lâu dài, khe cắm sim kép tiện lợi, trải nghiệm người sử dụng mượt mà và liền mạch, thiết kế mượt mà và phong cách, bảo hành 12 tháng đáng tin cậy,",Positive,,Positive,,Positive,,,,Positive,,,,,,219600412,3,
bộ nhớ 128. chứ kh phải 256gb ... khá mượt chơi liên quân . last lsland of survi ..tốt mượt,,,,,,,,,,,,Positive,,,219600413,3,
"pin chỉ 5h sử dụng nhẹ, đóng gói không chống sốc. camera đêm tối om, hỗ trợ chat lag và đóng đột ngột.",Negative,Negative,,,,,Negative,,,Negative,,,,,219600414,3,
"đóng gói hộp cong queo, pin rò khi nghe audio. camera chính sáng quá, hiệu năng giật cục.",Negative,Negative,Negative,,,,Negative,,,,,,,Neutral,219600415,3,
chất lượng sản phẩm: lag tệ selfie camera. đúng với mô tả: hứa khớp không. tính năng nổi bật: pin kém. review: mau hết đơ app mờ. trễ ship lùng lạnh chăm sóc khách hàng,Negative,Negative,,,,Negative,,,,Negative,Negative,,,,219600416,3,
ngoại hình: đẹp trên 85% hàng mới nhận hôm này 22/6/ mà bấm không được,,,,,,,,,,,,Negative,,,219600417,3,
